,PERSON_ID,GAME_DATE
143,1628368,Empty
144,1628982,Empty
145,1628365,Empty
146,1629117,Empty
147,1629655,Empty
148,201568,APR 19 2022 07:30 PM
149,1629636,Empty
150,1630586,Empty
151,1630568,Empty
152,200752,APR 18 2022 08:30 PM
153,202331,Empty
154,201959,Empty
155,1630581,Empty
156,1628983,Empty
157,1630264,Empty
158,203497,APR 18 2022 08:30 PM
159,1629164,Empty
160,203932,APR 18 2022 10:00 PM
161,201569,Empty
162,1628984,APR 19 2022 10:00 PM
163,203924,Empty
164,201980,APR 18 2022 07:30 PM
165,203110,APR 18 2022 10:00 PM
166,203210,APR 18 2022 10:00 PM
167,1630224,Empty
168,1629750,APR 20 2022 09:30 PM
169,201145,APR 18 2022 10:00 PM
170,1630182,APR 18 2022 08:30 PM
171,201933,APR 20 2022 07:00 PM
172,1629656,Empty
173,1629060,Empty
174,1630169,Empty
175,1630181,Empty
176,203501,APR 18 2022 08:30 PM
177,201935,APR 18 2022 07:30 PM
178,203090,Empty
179,1629607,APR 19 2022 10:00 PM
180,1626149,Empty
181,203914,Empty
182,203925,APR 20 2022 07:00 PM
183,202699,APR 18 2022 07:30 PM
184,1628404,Empty
185,1628392,Empty
186,2617,APR 19 2022 07:30 PM
187,1630573,APR 20 2022 07:00 PM
188,1629637,APR 19 2022 10:00 PM
189,1630165,Empty
190,202330,Empty
191,1627823,APR 18 2022 08:30 PM
192,1626195,APR 19 2022 10:00 PM
193,1629639,APR 19 2022 07:30 PM
194,1627741,Empty
195,1629312,APR 19 2022 07:30 PM
196,201588,APR 20 2022 09:30 PM
197,1630792,APR 20 2022 09:30 PM
198,1630207,Empty
199,1628988,APR 19 2022 10:00 PM
200,201950,APR 20 2022 09:30 PM
201,203200,Empty
202,1626158,Empty
203,203918,Empty
204,201143,APR 20 2022 07:00 PM
205,1629659,Empty
206,1627863,APR 18 2022 08:30 PM
207,2730,Empty
208,1630210,APR 18 2022 10:00 PM
209,1628989,APR 19 2022 07:30 PM
210,1630190,Empty
211,1630624,Empty
212,1629631,APR 19 2022 07:30 PM
213,1630538,APR 18 2022 10:00 PM
214,201586,APR 20 2022 09:30 PM
215,2738,APR 18 2022 10:00 PM
216,204060,Empty
217,1627742,APR 19 2022 10:00 PM
218,202681,APR 20 2022 07:00 PM
219,1628371,Empty
220,1628402,Empty
221,1630543,Empty
222,1628367,Empty
223,202704,Empty
224,1628991,APR 19 2022 08:30 PM
225,2544,Empty
226,1629660,Empty
227,1630198,APR 18 2022 07:30 PM
228,1629661,APR 19 2022 10:00 PM
229,1630525,APR 18 2022 07:30 PM
230,1630552,APR 19 2022 07:30 PM
231,1629640,Empty
232,1630553,Empty
233,1626169,Empty
234,203999,APR 18 2022 10:00 PM
235,1627745,Empty
236,1630529,APR 19 2022 10:00 PM
237,1630539,Empty
238,1630222,Empty
239,1630200,Empty
240,1626145,APR 19 2022 08:30 PM
241,1627884,APR 20 2022 09:30 PM
242,201599,APR 18 2022 07:30 PM
243,202709,Empty
244,1628379,Empty
245,1630296,Empty
246,1630557,Empty
247,1628467,APR 18 2022 08:30 PM
248,1630233,APR 19 2022 08:30 PM
249,1628995,APR 19 2022 07:30 PM
250,1629723,APR 19 2022 08:30 PM
251,1627788,APR 18 2022 07:30 PM
252,1628436,APR 20 2022 07:00 PM
253,1630249,Empty
254,1629083,Empty
