,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ABBREVIATION,Salary
373,1626181,Norman Powell,Clippers,LAC,15517242
374,1630563,Joshua Primo,Spurs,SAS,3946800
375,1627752,Taurean Prince,Timberwolves,MIN,15057692
376,1630202,Payton Pritchard,Celtics,BOS,2137440
377,1630243,Trevelin Queen,Rockets,HOU,0
378,1629674,Neemias Queta,Kings,SAC,0
379,1630193,Immanuel Quickley,Knicks,NYK,2210640
380,203944,Julius Randle,Knicks,NYK,19800000
381,1630559,Austin Reaves,Lakers,LAL,925258
382,1629629,Cam Reddish,Knicks,NYK,4670160
383,1628432,Davon Reed,Nuggets,DEN,0
384,1630194,Paul Reed,76ers,PHI,1517981
385,1629675,Naz Reid,Timberwolves,MIN,1782621
386,1630208,Nick Richards,Hornets,CHA,1517981
387,1626196,Josh Richardson,Spurs,SAS,11615328
388,203085,Austin Rivers,Nuggets,DEN,2401537
389,1629130,Duncan Robinson,Heat,MIA,15560000
390,1629011,Mitchell Robinson,Knicks,NYK,1802057
391,1630526,Jeremiah Robinson-Earl,Thunder,OKC,2000000
392,1629676,Isaiah Roby,Thunder,OKC,1782621
393,200765,Rajon Rondo,Cavaliers,CLE,2641691
394,201565,Derrick Rose,Knicks,NYK,13445120
395,203082,Terrence Ross,Magic,ORL,12500000
396,1626179,Terry Rozier,Hornets,CHA,17905263
397,201937,Ricky Rubio,Pacers,IND,17809524
398,1626156,D'Angelo Russell,Timberwolves,MIN,30013500
399,1630346,Matt Ryan,Celtics,BOS,0
400,1627734,Domantas Sabonis,Kings,SAC,18562500
401,203967,Dario Saric,Suns,PHX,9000000
402,203107,Tomas Satoransky,Wizards,WAS,10468119
403,1630648,Jordan Schakel,Wizards,WAS,0
404,1629678,Admiral Schofield,Magic,ORL,0
405,203471,Dennis Schroder,Rockets,HOU,5890000
406,1630206,Jay Scrubb,Clippers,LAC,0
407,1630578,Alperen Sengun,Rockets,HOU,3214680
408,1629012,Collin Sexton,Cavaliers,CLE,6349671
409,1629013,Landry Shamet,Suns,PHX,3768342
410,1630549,Day'Ron Sharpe,Nets,BKN,2009040
411,1627783,Pascal Siakam,Raptors,TOR,31320000
412,1627732,Ben Simmons,Nets,BKN,31590000
413,1630250,Marko Simonovic,Bulls,CHI,925258
414,1629014,Anfernee Simons,Trail Blazers,POR,3938818
415,1630579,Jericho Sims,Knicks,NYK,0
416,1630606,Javonte Smart,Heat,MIA,0
417,203935,Marcus Smart,Celtics,BOS,14339285
418,202397,Ish Smith,Wizards,WAS,4500000
419,1630188,Jalen Smith,Pacers,IND,4458000
420,1630270,Xavier Sneed,Jazz,UTA,1563518
421,203503,Tony Snell,Pelicans,NOP,2389641
422,1630531,Jaden Springer,76ers,PHI,2023800
423,203917,Nik Stauskas,Celtics,BOS,0
424,202362,Lance Stephenson,Pacers,IND,924730
425,1630205,Lamar Stevens,Cavaliers,CLE,1517981
426,1630191,Isaiah Stewart,Pistons,DET,3277080
427,1629622,Max Strus,Heat,MIA,1669178
428,1630591,Jalen Suggs,Magic,ORL,6593040
429,1630256,Jae'Sean Tate,Rockets,HOU,1517981
430,1628369,Jayson Tatum,Celtics,BOS,28103550
431,1630678,Terry Taylor,Pacers,IND,21270
432,202066,Garrett Temple,Pelicans,NOP,4910000
433,1630179,Tyrell Terry,Grizzlies,MEM,1517981
434,1628464,Daniel Theis,Celtics,BOS,8372093
435,1630271,Brodric Thomas,Celtics,BOS,0
436,1630560,Cam Thomas,Nets,BKN,2036280
437,202738,Isaiah Thomas,Hornets,CHA,276039
438,1629744,Matt Thomas,Bulls,CHI,1669178
439,202691,Klay Thompson,Warriors,GSW,37980720
440,202684,Tristan Thompson,Bulls,CHI,10720900
441,1630550,JT Thor,Hornets,CHA,1250000
442,1629680,Matisse Thybulle,76ers,PHI,2840160
443,1629681,Killian Tillie,Grizzlies,MEM,2000000
444,1630214,Xavier Tillman,Grizzlies,MEM,0
445,1630225,Isaiah Todd,Wizards,WAS,1500000
446,1630167,Obi Toppin,Knicks,NYK,5105160
447,1629308,Juan Toscano-Anderson,Warriors,GSW,1701593
448,1626157,Karl-Anthony Towns,Timberwolves,MIN,31610000
449,1629018,Gary Trent Jr.,Raptors,TOR,16000000
450,200782,P.J. Tucker,Heat,MIA,7000000
451,1629730,Rayjon Tucker,Bucks,MIL,28779
452,1626167,Myles Turner,Pacers,IND,18000000
453,202685,Jonas Valanciunas,Pelicans,NOP,14000000
454,1627832,Fred VanVleet,Raptors,TOR,19675926
455,1629020,Jarred Vanderbilt,Timberwolves,MIN,4259259
456,1630170,Devin Vassell,Spurs,SAS,4235160
457,1629216,Gabe Vincent,Heat,MIA,1669178
458,202696,Nikola Vucevic,Bulls,CHI,24000000
459,1629731,Dean Wade,Cavaliers,CLE,1782621
460,1630532,Franz Wagner,Magic,ORL,5007840
461,1629021,Moritz Wagner,Magic,ORL,1729217
462,1630688,Ish Wainright,Suns,PHX,8558
463,202689,Kemba Walker,Knicks,NYK,34967442
464,1629022,Lonnie Walker IV,Spurs,SAS,4447896
465,202322,John Wall,Rockets,HOU,44310840
466,203933,T.J. Warren,Pacers,IND,12690000
467,1629023,P.J. Washington,Hornets,CHA,4215120
468,1630613,Duane Washington Jr.,Pacers,IND,21270
469,1629139,Yuta Watanabe,Raptors,TOR,1762769
470,1630322,Lindy Waters III,Thunder,OKC,0
471,1630570,Trendon Watford,Trail Blazers,POR,260561
472,1629683,Quinndary Weatherspoon,Warriors,GSW,0
473,201566,Russell Westbrook,Lakers,LAL,44211146
474,1629632,Coby White,Bulls,CHI,5837760
475,1628401,Derrick White,Celtics,BOS,15178571
476,202355,Hassan Whiteside,Jazz,UTA,2401537
477,1630580,Joe Wieskamp,Spurs,SAS,202068
478,1630598,Aaron Wiggins,Thunder,OKC,1000000
479,203952,Andrew Wiggins,Warriors,GSW,31579390
480,1629623,Lindell Wigginton,Bucks,MIL,0
481,1630314,Brandon Williams,Trail Blazers,POR,0
482,1629684,Grant Williams,Celtics,BOS,2617800
483,1629026,Kenrich Williams,Thunder,OKC,2000000
484,101150,Lou Williams,Hawks,ATL,5000000
485,1630172,Patrick Williams,Bulls,CHI,7422000
486,1630533,Ziaire Williams,Grizzlies,MEM,4373160
487,1629057,Robert Williams III,Celtics,BOS,0
488,1629627,Zion Williamson,Pelicans,NOP,10733400
489,1629685,Dylan Windler,Cavaliers,CLE,2239200
490,1626159,Justise Winslow,Trail Blazers,POR,3902439
491,1630216,Cassius Winston,Wizards,WAS,0
492,1630164,James Wiseman,Warriors,GSW,9166800
493,1626174,Christian Wood,Rockets,HOU,13666667
494,1630218,Robert Woodard II,Spurs,SAS,1517981
495,1626153,Delon Wright,Hawks,ATL,8526316
496,1630589,Moses Wright,Mavericks,DAL,0
497,1630593,McKinley Wright IV,Timberwolves,MIN,0
498,1628221,Gabe York,Pacers,IND,0
499,201152,Thaddeus Young,Raptors,TOR,14190000
500,1629027,Trae Young,Hawks,ATL,8326471
501,1630209,Omer Yurtseven,Heat,MIA,1489065
502,1627826,Ivica Zubac,Clippers,LAC,7518518
