,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION
226,1628392,Isaiah Hartenstein,Clippers,1610612746,LAC
227,2617,Udonis Haslem,Heat,1610612748,MIA
228,1630573,Sam Hauser,Celtics,1610612738,BOS
229,1629637,Jaxson Hayes,Pelicans,1610612740,NOP
230,1630165,Killian Hayes,Pistons,1610612765,DET
231,202330,Gordon Hayward,Hornets,1610612766,CHA
233,1627823,Juancho Hernangomez,Jazz,1610612762,UTA
234,1626195,Willy Hernangomez,Pelicans,1610612740,NOP
235,1629639,Tyler Herro,Heat,1610612748,MIA
236,1627741,Buddy Hield,Pacers,1610612754,IND
237,1629312,Haywood Highsmith,Heat,1610612748,MIA
238,201588,George Hill,Bucks,1610612749,MIL
239,1630792,Malcolm Hill,Bulls,1610612741,CHI
241,1630207,Nate Hinton,Pacers,1610612754,IND
243,1628988,Aaron Holiday,Suns,1610612756,PHX
244,201950,Jrue Holiday,Bucks,1610612749,MIL
245,203200,Justin Holiday,Kings,1610612758,SAC
246,1626158,Richaun Holmes,Kings,1610612758,SAC
247,203918,Rodney Hood,Clippers,1610612746,LAC
249,201143,Al Horford,Celtics,1610612738,BOS
250,1629659,Talen Horton-Tucker,Lakers,1610612747,LAL
251,1627863,Danuel House Jr.,Jazz,1610612762,UTA
252,2730,Dwight Howard,Lakers,1610612747,LAL
253,1630210,Markus Howard,Nuggets,1610612743,DEN
254,1628989,Kevin Huerter,Hawks,1610612737,ATL
256,1630190,Elijah Hughes,Trail Blazers,1610612757,POR
257,1630624,Feron Hunt,Knicks,1610612752,NYK
258,1629631,De'Andre Hunter,Hawks,1610612737,ATL
260,1630538,Bones Hyland,Nuggets,1610612743,DEN
261,201586,Serge Ibaka,Bucks,1610612749,MIL
262,2738,Andre Iguodala,Warriors,1610612744,GSW
263,204060,Joe Ingles,Trail Blazers,1610612757,POR
264,1627742,Brandon Ingram,Pelicans,1610612740,NOP
265,202681,Kyrie Irving,Nets,1610612751,BKN
266,1628371,Jonathan Isaac,Magic,1610612753,ORL
268,1628402,Frank Jackson,Pistons,1610612765,DET
269,1630543,Isaiah Jackson,Pacers,1610612754,IND
270,1628367,Josh Jackson,Kings,1610612758,SAC
272,202704,Reggie Jackson,Clippers,1610612746,LAC
273,1628991,Jaren Jackson Jr.,Grizzlies,1610612763,MEM
274,2544,LeBron James,Lakers,1610612747,LAL
277,1629660,Ty Jerome,Thunder,1610612760,OKC
278,1630198,Isaiah Joe,76ers,1610612755,PHI
281,1629661,Cameron Johnson,Suns,1610612756,PHX
282,1630525,David Johnson,Raptors,1610612761,TOR
283,1630552,Jalen Johnson,Hawks,1610612737,ATL
286,1629640,Keldon Johnson,Spurs,1610612759,SAS
287,1630553,Keon Johnson,Trail Blazers,1610612757,POR
288,1626169,Stanley Johnson,Lakers,1610612747,LAL
290,203999,Nikola Jokic,Nuggets,1610612743,DEN
292,1627745,Damian Jones,Kings,1610612758,SAC
293,1630529,Herbert Jones,Pelicans,1610612740,NOP
295,1630539,Kai Jones,Hornets,1610612766,CHA
296,1630222,Mason Jones,Lakers,1610612747,LAL
297,1630200,Tre Jones,Spurs,1610612759,SAS
298,1626145,Tyus Jones,Grizzlies,1610612763,MEM
299,1627884,Derrick Jones Jr.,Bulls,1610612741,CHI
300,201599,DeAndre Jordan,76ers,1610612755,PHI
301,202709,Cory Joseph,Pistons,1610612765,DET
304,1628379,Luke Kennard,Clippers,1610612746,LAC
305,1630296,Braxton Key,Pistons,1610612765,DET
308,1630557,Corey Kispert,Wizards,1610612764,WAS
309,1628467,Maxi Kleber,Mavericks,1610612742,DAL
311,1630233,Nathan Knight,Timberwolves,1610612750,MIN
312,1628995,Kevin Knox II,Hawks,1610612737,ATL
313,1629723,John Konchar,Grizzlies,1610612763,MEM
314,1627788,Furkan Korkmaz,76ers,1610612755,PHI
315,1628436,Luke Kornet,Celtics,1610612738,BOS
316,1630249,Vit Krejci,Thunder,1610612760,OKC
317,1629083,Arnoldas Kulboka,Hornets,1610612766,CHA
318,1630228,Jonathan Kuminga,Warriors,1610612744,GSW
319,1628398,Kyle Kuzma,Wizards,1610612764,WAS
320,203897,Zach LaVine,Bulls,1610612741,CHI
321,1630237,Anthony Lamb,Rockets,1610612745,HOU
322,203087,Jeremy Lamb,Kings,1610612758,SAC
323,1629111,Jock Landale,Spurs,1610612759,SAS
324,1629641,Romeo Langford,Spurs,1610612759,SAS
325,1627774,Jake Layman,Timberwolves,1610612750,MIN
326,1627747,Caris LeVert,Cavaliers,1610612739,CLE
327,1627814,Damion Lee,Warriors,1610612744,GSW
328,1630240,Saben Lee,Pistons,1610612765,DET
329,203458,Alex Len,Kings,1610612758,SAC
330,202695,Kawhi Leonard,Clippers,1610612746,LAC
331,1630575,Scottie Lewis,Hornets,1610612766,CHA
332,1630184,Kira Lewis Jr.,Pelicans,1610612740,NOP
333,203081,Damian Lillard,Trail Blazers,1610612757,POR
334,1629642,Nassir Little,Trail Blazers,1610612757,POR
335,1630587,Isaiah Livers,Pistons,1610612765,DET
336,1626172,Kevon Looney,Warriors,1610612744,GSW
337,201572,Brook Lopez,Bucks,1610612749,MIL
338,201577,Robin Lopez,Magic,1610612753,ORL
339,1629712,Didi Louzada,Trail Blazers,1610612757,POR
340,201567,Kevin Love,Cavaliers,1610612739,CLE
341,200768,Kyle Lowry,Heat,1610612748,MIA
342,1630994,Gabriel Lundberg,Suns,1610612756,PHX
